id,kanji,meaning,on_reading,kun_reading,next_review_time,correct_counter
1,初,beginning/first time,ショ,-そ.める/-ぞ.め/うい-/はじ.め/はじ.めて/はつ/はつ-,null,0
2,愛,affection/favourite/love,アイ,いと.しい/お.しむ/かな.しい/まな/め.でる,null,0
3,案,bench/draft/expectation/fear/idea/plan/ponder/proposition/suggestion/table/worry,アン,つくえ,null,0
4,以,because/by means of/compared with/in view of,イ,もっ.て,null,0
5,意,care/desire/heart/idea/liking/mind/taste/thought,イ,,null,0
6,医,doctor/medicine,イ,い.する/い.やす/くすし,null,0
7,員,employee/member/number/the one in charge,イン,,null,0
8,院,Inst./institution/mansion/school/temple,イン,,null,0
9,運,advance/carry/destiny/fate/lot/luck/progress/transport,ウン,はこ.ぶ,null,0
10,映,projection/reflect/reflection,エイ,-ば.え/うつ.す/うつ.る/は.える,null,0
11,英,England/English/calyx/hero/outstanding,エイ,はなぶさ,null,0
12,横,horizontal/perverse/side/sideways/unreasonable/width/woof,オウ,よこ,null,0
13,屋,dealer/house/roof/seller/shop,オク,や,null,0
14,温,warm,オン,あたた.か/あたた.かい/あたた.まる/あたた.める/ぬく,null,0
15,化,-ization/change/delude/enchant/influence/take the form of,カ/ケ,け.する/ば.かす/ば.ける/ふ.ける,null,0
16,荷,baggage/bear (a burden)/cargo/freight/load/shoulder (a gun)/shoulder-pole load,カ,に,null,0
17,階,counter for storeys of a building/stair/storey,カイ,きざはし,null,0
18,感,emotion/feeling/sensation,カン,,null,0
19,漢,China/Sino-,カン,,null,0
20,館,building/large building/mansion/palace,カン,たて/やかた,null,0
21,願,hope/petition/request/vow/wish,ガン,-ねがい/ねが.う,null,0
22,起,get up/rouse/wake up,キ,お.きる/お.こす/お.こる/おこ.す/た.つ,null,0
23,期,date/period/term/time,キ/ゴ,,null,0
24,客,client/customer/guest/visitor,カク/キャク,,null,0
25,急,emergency/hurry/steep/sudden,キュウ,いそ.ぎ/いそ.ぐ/せ.く,null,0
26,究,research/study,キュウ/ク,きわ.める,null,0
27,級,class/grade/rank,キュウ,,null,0
28,去,divorce/elapse/eliminate/gone/leave/past/quit,キョ/コ,-さ.る/さ.る,null,0
29,魚,fish,ギョ,-ざかな/うお/さかな,null,0
30,業,arts/business/performance/vocation,ギョウ/ゴウ,わざ,null,0
31,局,affair/board/bureau/conclusion/court lady/her apartment/lady-in-waiting/office,キョク,つぼね,null,0
32,近,akin/early/near/tantamount,キン/コン,ちか.い,null,0
33,具,"counter for armor, suits, sets of furniture/ingredients/means/possess/tool/utensil",グ,そな.える/つぶさ.に,null,0
34,係,concern oneself/connection/duty/person in charge,ケイ,-がかり/かか.る/かか.わる/かかり,null,0
35,結,bind/contract/do up hair/fasten/join/organize/tie,ケチ/ケツ,むす.ぶ/ゆ.う/ゆ.わえる,null,0
36,建,build,ケン/コン,-だ.て/た.つ/た.て/た.てる,null,0
37,研,polish/sharpen/study of,ケン,と.ぐ,null,0
38,県,prefecture,ケン,か.ける,null,0
39,庫,storehouse/warehouse,ク/コ,くら,null,0
40,向,approach/beyond/confront/defy/facing/tend toward/yonder,コウ,-む.き/-む.け/む.い/む.かい/む.かう/む.く/む.ける/む.こう/む.こう-/むか.い/むこ,null,0
41,幸,blessing/fortune/happiness,コウ,さいわ.い/さち/しあわ.せ,null,0
42,港,harbor,コウ,みなと,null,0
43,号,call/item/name/nickname/number/pseudonym/title,ゴウ,さけ.ぶ/よびな,null,0
44,根,head (pimple)/radical/root,コン,-ね/ね,null,0
